weekendingdate,location,pct_hosp,date,MMWRYR,MMWRWK
2023-07-15T00:00:00.000,Region 7,0.955,2023-07-15,2023,28
2023-02-18T00:00:00.000,Region 8,0.9667,2023-02-18,2023,7
2024-12-14T00:00:00.000,Region 8,0.9278,2024-12-14,2024,50
2021-01-23T00:00:00.000,Region 9,0.9155,2021-01-23,2021,3
2021-02-20T00:00:00.000,Region 9,0.9155,2021-02-20,2021,7
2025-03-01T00:00:00.000,Region 9,0.9276,2025-03-01,2025,9
2024-06-29T00:00:00.000,Region 2,0.5029,2024-06-29,2024,26
2025-04-26T00:00:00.000,Region 2,0.8728,2025-04-26,2025,17
2020-12-05T00:00:00.000,Region 3,0.8714,2020-12-05,2020,49
2025-04-12T00:00:00.000,Region 3,0.9047,2025-04-12,2025,15
2021-03-20T00:00:00.000,Region 5,0.9265,2021-03-20,2021,11
2022-08-13T00:00:00.000,Region 7,0.9407,2022-08-13,2022,32
2025-07-19T00:00:00.000,Region 7,0.8793,2025-07-19,2025,29
2025-06-28T00:00:00.000,Region 8,0.8583,2025-06-28,2025,26
2020-11-28T00:00:00.000,Region 9,0.8759,2020-11-28,2020,48
2020-12-12T00:00:00.000,Region 9,0.8845,2020-12-12,2020,50
2021-05-22T00:00:00.000,Region 9,0.9121,2021-05-22,2021,20
2023-09-09T00:00:00.000,Region 9,0.9448,2023-09-09,2023,36
2024-03-16T00:00:00.000,Region 1,0.9476,2024-03-16,2024,11
2021-08-28T00:00:00.000,Region 10,0.9217,2021-08-28,2021,34
2025-04-05T00:00:00.000,Region 10,0.9435,2025-04-05,2025,14
2021-04-17T00:00:00.000,Region 2,0.9191,2021-04-17,2021,15
2021-12-18T00:00:00.000,Region 3,0.8625,2021-12-18,2021,50
2022-05-28T00:00:00.000,Region 3,0.9024,2022-05-28,2022,21
2021-09-18T00:00:00.000,Region 4,0.765,2021-09-18,2021,37
2021-01-16T00:00:00.000,Region 5,0.9245,2021-01-16,2021,2
2021-06-05T00:00:00.000,Region 5,0.9265,2021-06-05,2021,22
2022-05-07T00:00:00.000,Region 5,0.9325,2022-05-07,2022,18
2023-03-18T00:00:00.000,Region 7,0.9611,2023-03-18,2023,11
2025-03-22T00:00:00.000,Region 7,0.9325,2025-03-22,2025,12
2022-02-26T00:00:00.000,Region 8,0.9333,2022-02-26,2022,8
2022-09-24T00:00:00.000,Region 8,0.9306,2022-09-24,2022,38
2021-01-02T00:00:00.000,Region 9,0.9155,2021-01-02,2020,53
2022-06-04T00:00:00.000,Region 1,0.9048,2022-06-04,2022,22
2022-08-06T00:00:00.000,Region 3,0.9113,2022-08-06,2022,31
2022-10-22T00:00:00.000,Region 4,0.8962,2022-10-22,2022,42
2023-09-02T00:00:00.000,Region 4,0.9308,2023-09-02,2023,35
2021-04-24T00:00:00.000,Region 6,0.9114,2021-04-24,2021,16
2020-10-03T00:00:00.000,Region 7,0.0,2020-10-03,2020,40
2021-10-23T00:00:00.000,Region 7,0.7791,2021-10-23,2021,42
2024-07-13T00:00:00.000,Region 7,0.3129,2024-07-13,2024,28
2021-05-29T00:00:00.000,Region 8,0.9333,2021-05-29,2021,21
2021-01-16T00:00:00.000,Region 9,0.9155,2021-01-16,2021,2
2025-03-08T00:00:00.000,Region 9,0.9345,2025-03-08,2025,10
2025-03-22T00:00:00.000,Region 9,0.9345,2025-03-22,2025,12
2025-07-26T00:00:00.000,Region 9,0.9172,2025-07-26,2025,30
2023-12-09T00:00:00.000,Region 1,0.9524,2023-12-09,2023,49
2024-02-10T00:00:00.000,Region 10,0.9783,2024-02-10,2024,6
2021-01-09T00:00:00.000,Region 2,0.9249,2021-01-09,2021,1
2023-10-14T00:00:00.000,Region 2,0.9711,2023-10-14,2023,41
2021-11-06T00:00:00.000,Region 4,0.7605,2021-11-06,2021,44
2022-05-21T00:00:00.000,Region 4,0.8962,2022-05-21,2022,20
2025-01-11T00:00:00.000,Region 4,0.9335,2025-01-11,2025,2
2021-12-04T00:00:00.000,Region 5,0.8872,2021-12-04,2021,48
2023-02-11T00:00:00.000,Region 6,0.9207,2023-02-11,2023,6
2023-11-11T00:00:00.000,Region 6,0.9331,2023-11-11,2023,45
2025-01-18T00:00:00.000,Region 6,0.8857,2025-01-18,2025,3
2025-03-01T00:00:00.000,Region 6,0.8929,2025-03-01,2025,9
2022-10-08T00:00:00.000,Region 7,0.9366,2022-10-08,2022,40
2025-04-19T00:00:00.000,Region 9,0.9103,2025-04-19,2025,16
2025-08-23T00:00:00.000,Region 1,0.9429,2025-08-23,2025,34
2020-08-15T00:00:00.000,Region 10,0.0043,2020-08-15,2020,33
2023-07-22T00:00:00.000,Region 10,0.9826,2023-07-22,2023,29
2024-07-20T00:00:00.000,Region 2,0.4855,2024-07-20,2024,29
2023-11-11T00:00:00.000,Region 3,0.9534,2023-11-11,2023,45
2022-05-28T00:00:00.000,Region 4,0.8962,2022-05-28,2022,21
2024-06-08T00:00:00.000,Region 5,0.3917,2024-06-08,2024,23
2023-01-07T00:00:00.000,Region 6,0.9166,2023-01-07,2023,1
2024-04-06T00:00:00.000,Region 7,0.9509,2024-04-06,2024,14
2022-04-23T00:00:00.000,Region 8,0.9333,2022-04-23,2022,16
2024-07-27T00:00:00.000,Region 8,0.4194,2024-07-27,2024,30
